,activity,0,windowtsseconds
107,SITTING,SITTING,145881732
108,SITTING,SITTING,145881754
109,SITTING,WALKING,145881758
110,SITTING,SITTING,145881759
111,SITTING,SITTING,145881760
112,SITTING,SITTING,145881761
113,SITTING,SITTING,145881763
114,SITTING,SITTING,145881767
115,SITTING,SITTING,145881768
116,SITTING,SITTING,145881771
117,SITTING,SITTING,145881772
118,SITTING,SITTING,145881773
119,SITTING,SITTING,145881776
120,SITTING,SITTING,145881777
121,WALKING,SITTING,145881777
122,WALKING,SITTING,145881778
123,WALKING,WALKING_UP,145881779
124,WALKING,SITTING,145881780
125,WALKING,WALKING,145881784
126,WALKING,WALKING,145881788
127,WALKING,WALKING,145881789
128,WALKING,WALKING,145881794
129,WALKING_UP,WALKING,145881796
130,WALKING_UP,WALKING_UP,145881797
131,WALKING_UP,WALKING_UP,145881798
132,SITTING,SITTING,145881799
133,SITTING,WALKING,145881800
134,WALKING,SITTING,145881803
135,WALKING,WALKING,145881806
136,WALKING,SITTING,145881810
137,WALKING_DOWN,SITTING,145881812
138,WALKING,SITTING,145881813
139,WALKING_UP,SITTING,145881815
140,WALKING_UP,WALKING,145881816
141,WALKING,WALKING_UP,145881818
142,WALKING,SITTING,145881819
143,WALKING,SITTING,145881820
144,SITTING,SITTING,145881823
145,SITTING,SITTING,145881824
146,SITTING,SITTING,145881826
147,SITTING,WALKING_UP,145881828
148,SITTING,SITTING,145881832
149,SITTING,SITTING,145881834
150,SITTING,SITTING,145881836
151,SITTING,SITTING,145881840
152,SITTING,SITTING,145881845
153,SITTING,WALKING,145881850
154,SITTING,SITTING,145881851
155,SITTING,WALKING_DOWN,145881855
156,WALKING,WALKING,145881855
157,WALKING,WALKING_UP,145881857
158,WALKING,SITTING,145881859
159,WALKING,SITTING,145881860
160,WALKING_DOWN,SITTING,145881861
161,WALKING_DOWN,SITTING,145881864
162,WALKING_DOWN,WALKING_DOWN,145881865
163,WALKING,WALKING_DOWN,145881866
164,WALKING,WALKING,145881869
165,WALKING_UP,WALKING,145881870
166,WALKING,WALKING_DOWN,145881870
167,WALKING,WALKING,145881874
168,WALKING,WALKING,145881875
169,WALKING_DOWN,WALKING,145881877
170,WALKING,WALKING_DOWN,145881879
171,WALKING,SITTING,145881880
172,WALKING,WALKING_UP,145881881
173,WALKING_UP,WALKING,145881882
174,WALKING_UP,WALKING_UP,145881884
175,WALKING_UP,WALKING_UP,145881887
176,WALKING,WALKING,145881890
177,WALKING,SITTING,145881891
178,WALKING,SITTING,145881892
179,WALKING_DOWN,SITTING,145881895
180,WALKING,SITTING,145881895
181,WALKING,WALKING,145881896
182,WALKING,WALKING,145881897
183,SITTING,SITTING,145881901
184,SITTING,SITTING,145881908
185,SITTING,SITTING,145881909
186,SITTING,SITTING,145881912
187,WALKING,SITTING,145881913
188,WALKING,SITTING,145881914
189,WALKING,WALKING_UP,145881915
190,WALKING_DOWN,SITTING,145881917
191,WALKING,SITTING,145881918
192,WALKING_DOWN,SITTING,145881918
193,WALKING,SITTING,145881919
194,WALKING_DOWN,SITTING,145881921
195,WALKING_DOWN,WALKING,145881922
196,WALKING,SITTING,145881923
197,WALKING_DOWN,WALKING_DOWN,145881923
198,WALKING,WALKING,145881924
199,WALKING_UP,WALKING_UP,145881926
200,WALKING_UP,WALKING_UP,145881927
201,WALKING,WALKING,145881929
202,WALKING_DOWN,WALKING,145881932
203,WALKING_DOWN,WALKING_UP,145881933
204,WALKING,WALKING,145881934
205,WALKING_UP,WALKING,145881935
206,WALKING_UP,WALKING_UP,145881936
207,WALKING_UP,WALKING_UP,145881937
208,WALKING,WALKING,145881939
209,WALKING_DOWN,WALKING_DOWN,145881942
210,WALKING,SITTING,145881943
211,WALKING_UP,SITTING,145881944
212,SITTING,WALKING,145881946
213,WALKING_UP,WALKING_UP,145881946
214,SITTING,WALKING,145881948
215,SITTING,SITTING,145881949
216,WALKING_DOWN,SITTING,145881950
217,WALKING_DOWN,WALKING,145881951
218,WALKING,SITTING,145881952
219,WALKING,WALKING_UP,145881953
220,WALKING,WALKING,145881954
221,WALKING_UP,WALKING,145881957
222,SITTING,SITTING,145881959
223,SITTING,SITTING,145881960
224,SITTING,SITTING,145881961
225,WALKING_DOWN,SITTING,145881961
226,WALKING_DOWN,WALKING,145881962
227,WALKING,WALKING,145881965
228,WALKING,WALKING,145881967
229,WALKING,WALKING,145881968
