,activity,0,windowtsseconds
184,WALKING_DOWN,WALKING,145881813
185,WALKING_DOWN,WALKING,145881860
186,WALKING_DOWN,SITTING,145881861
187,WALKING_DOWN,WALKING_DOWN,145881894
188,WALKING_DOWN,WALKING,145881895
189,WALKING_DOWN,SITTING,145881917
190,WALKING_DOWN,WALKING,145881918
191,WALKING_DOWN,WALKING,145881921
192,WALKING_DOWN,WALKING,145881923
193,WALKING_DOWN,WALKING,145881931
194,WALKING_DOWN,SITTING,145881932
195,WALKING_DOWN,WALKING_DOWN,145881933
196,WALKING_DOWN,WALKING,145881940
197,WALKING_DOWN,WALKING,145881941
198,WALKING_DOWN,WALKING,145881950
199,WALKING_DOWN,SITTING,145881951
200,WALKING_DOWN,WALKING,145881961
201,WALKING_DOWN,WALKING,145881962
202,WALKING_DOWN,WALKING,145881963
203,WALKING_UP,WALKING,145881552
204,WALKING_UP,WALKING,145881567
205,WALKING_UP,WALKING,145881568
206,WALKING_UP,WALKING_UP,145881579
207,WALKING_UP,WALKING_UP,145881592
208,WALKING_UP,WALKING,145881593
209,WALKING_UP,WALKING,145881594
210,WALKING_UP,WALKING,145881629
211,WALKING_UP,WALKING,145881630
212,WALKING_UP,WALKING,145881714
213,WALKING_UP,WALKING,145881723
214,WALKING_UP,WALKING,145881788
215,WALKING_UP,WALKING,145881797
216,WALKING_UP,WALKING,145881798
217,WALKING_UP,WALKING,145881804
218,WALKING_UP,WALKING,145881815
219,WALKING_UP,SITTING,145881817
220,WALKING_UP,WALKING,145881870
221,WALKING_UP,WALKING,145881871
222,WALKING_UP,SITTING,145881873
223,WALKING_UP,WALKING,145881882
224,WALKING_UP,WALKING,145881883
225,WALKING_UP,WALKING_UP,145881884
226,WALKING_UP,WALKING_UP,145881924
227,WALKING_UP,WALKING,145881925
228,WALKING_UP,WALKING,145881926
229,WALKING_UP,WALKING,145881927
230,WALKING_UP,WALKING,145881936
231,WALKING_UP,WALKING,145881945
232,WALKING_UP,WALKING,145881955
233,WALKING_UP,WALKING,145881956
